state,pop
Andhra Pradesh #,84665533
Arunachal Pradesh,1382611
Assam,31169272
Bihar,103804637
Chhattisgarh,25540196
Goa,1457723
Gujarat,60383628
Haryana,25353081
Himachal Pradesh,6856509
Jammu & Kashmir,12548926
Jharkhand,32966238
Karnataka,61130704
Kerala,33387677
Madhya Pradesh,72597565
Maharashtra,112372972
Manipur,2721756
Meghalaya,2964007
Mizoram,1091014
Nagaland,1980602
Odisha,41947358
Punjab,27704236
Rajasthan,68621012
Sikkim,607688
Tamil Nadu,72138958
Tripura,3671032
Uttar Pradesh,199581477
Uttarakhand,10116752
West Bengal,91347736
Andaman & Nicobar Islands,379944
Chandigarh,1054686
Dadra & Nagar Haveli,342853
Daman & Diu,242911
Delhi,16753235
Lakshadweep,64429
Puducherry,1244464
